iter	RMSE
0	29.71508334
1	28.86118929
2	28.06660131
3	27.3494933
4	26.77244923
5	26.28206641
6	25.84008119
7	25.46362901
8	25.10419788
9	24.82575613
10	24.60489658
11	24.34033499
12	24.14719911
13	24.02036339
14	23.80579416
15	23.68807303
16	23.57436515
17	23.42673521
18	23.29601398
19	23.15887431
20	23.02176686
21	22.84830544
22	22.73471247
23	22.6472872
24	22.55175164
25	22.47561482
26	22.3904229
27	22.29935072
28	22.21947941
29	22.12545726
30	22.07314159
31	21.97286218
32	21.93262221
33	21.87929023
34	21.84378827
35	21.74839226
36	21.70800232
37	21.65029077
38	21.60619063
39	21.53921332
40	21.37225574
41	21.30816945
42	21.22021346
43	21.19856207
44	21.11699068
45	21.09810595
46	21.05201219
47	20.9481868
48	20.90671565
49	20.82664124
50	20.73801621
51	20.70217386
52	20.63539392
53	20.56951018
54	20.50073817
55	20.43414633
56	20.40515114
57	20.32998695
58	20.29797061
59	20.26609528
60	20.25034194
61	20.2140186
62	20.1714635
63	20.10066957
64	20.09098004
65	20.02304183
66	19.9504318
67	19.90021966
68	19.87472482
69	19.85210514
70	19.78855337
71	19.72414233
72	19.64750515
73	19.60450949
74	19.58666661
75	19.54696014
76	19.51859841
77	19.50005207
78	19.42351087
79	19.40796589
80	19.39096445
81	19.35530523
82	19.30370394
83	19.27508968
84	19.2480237
85	19.22863981
86	19.21082569
87	19.19739953
88	19.1636218
89	19.12143423
90	19.08977692
91	19.05834593
92	19.0348119
93	19.00496506
94	18.97503931
95	18.96221275
96	18.93477137
97	18.92007325
98	18.8807312
99	18.8428053
100	18.83135872
101	18.787318
102	18.75978449
103	18.69977648
104	18.67965356
105	18.66180741
106	18.62379731
107	18.606094
108	18.58226816
109	18.54999658
110	18.54215955
111	18.5263741
112	18.48500314
113	18.47624969
114	18.4593087
115	18.44861082
116	18.42611649
117	18.41550565
118	18.40026505
119	18.38949936
120	18.35554198
121	18.29480874
122	18.27547673
123	18.25091605
124	18.22413505
125	18.2050907
126	18.17067286
127	18.14672697
128	18.12928473
129	18.11100991
130	18.09610432
131	18.06759223
132	18.00781701
133	17.96288381
134	17.94830361
135	17.93318971
136	17.90349163
137	17.87292247
138	17.8472396
139	17.81966386
140	17.81142877
141	17.79285114
142	17.75329896
143	17.73690458
144	17.69658914
145	17.68241153
146	17.65578852
147	17.6311078
148	17.59915714
149	17.56754692
150	17.54330724
151	17.5219683
152	17.50865269
153	17.4776064
154	17.45350411
155	17.43352125
156	17.41159802
157	17.37926998
158	17.37209652
159	17.3646524
160	17.36073511
161	17.33466011
162	17.30888605
163	17.30046238
164	17.28220006
165	17.2727825
166	17.2519808
167	17.22385643
168	17.21323036
169	17.20579393
170	17.195894
171	17.16038006
172	17.14324402
173	17.10672566
174	17.09895187
175	17.09335372
176	17.07584672
177	17.04901167
178	17.00851205
179	16.9948749
180	16.9841792
181	16.97014866
182	16.95220709
183	16.9278461
184	16.91297407
185	16.90192241
186	16.89308945
187	16.88024859
188	16.87755944
189	16.84496889
190	16.81533549
191	16.79892884
192	16.78015242
193	16.76272347
194	16.75530195
195	16.75241117
196	16.73117337
197	16.70710636
198	16.68875818
199	16.68087054
200	16.67552529
201	16.65183066
202	16.62977031
203	16.60628795
204	16.56816595
205	16.55637899
206	16.53805811
207	16.520809
208	16.51135333
209	16.50455753
210	16.49596031
211	16.47967957
212	16.46826878
213	16.45930895
214	16.43604075
215	16.4158118
216	16.3956925
217	16.38545385
218	16.36399306
219	16.35968272
220	16.35185489
221	16.32746794
222	16.32228358
223	16.31772544
224	16.30711045
225	16.28572907
226	16.28151801
227	16.27804354
228	16.27359413
229	16.26834981
230	16.26165134
231	16.24839945
232	16.23477373
233	16.22493331
234	16.21704399
235	16.20768892
236	16.19315974
237	16.18901183
238	16.1727113
239	16.15676847
240	16.14803454
241	16.13570987
